SCLK,LMST,LTST,HORIZONTAL_WIND_SPEED,HORIZONTAL_WIND_SPEED_UNCERTAINTY,VERTICAL_WIND_SPEED,VERTICAL_WIND_SPEED_UNCERTAINTY,WIND_DIRECTION,WIND_DIRECTION_UNCERTAINTY,BOTH_BOOMS_USED_FOR_RETRIEVAL,ROVER_STILL
672590555,00064M04:00:21.810,0064 03:45:17,999999999,,,,999999999,,,1
672590555.5,00064M04:00:22.297,0064 03:45:17,999999999,,,,999999999,,,1
672590556,00064M04:00:22.783,0064 03:45:18,999999999,,,,999999999,,,1
672590556.5,00064M04:00:23.270,0064 03:45:18,999999999,,,,999999999,,,1
672590557,00064M04:00:23.757,0064 03:45:19,999999999,,,,999999999,,,1
672590557.5,00064M04:00:24.243,0064 03:45:19,999999999,,,,999999999,,,1
672590558,00064M04:00:24.730,0064 03:45:20,999999999,,,,999999999,,,1
672590558.5,00064M04:00:25.216,0064 03:45:20,999999999,,,,999999999,,,1
672590559,00064M04:00:25.703,0064 03:45:21,999999999,,,,999999999,,,1
672590559.5,00064M04:00:26.190,0064 03:45:21,999999999,,,,999999999,,,1
672590560,00064M04:00:26.676,0064 03:45:22,999999999,,,,999999999,,,1
672590560.5,00064M04:00:27.163,0064 03:45:22,999999999,,,,999999999,,,1
672590561,00064M04:00:27.650,0064 03:45:23,999999999,,,,999999999,,,1
672590561.5,00064M04:00:28.136,0064 03:45:23,999999999,,,,999999999,,,1
672590562,00064M04:00:28.623,0064 03:45:24,999999999,,,,999999999,,,1
672590562.5,00064M04:00:29.109,0064 03:45:24,999999999,,,,999999999,,,1
672590563,00064M04:00:29.596,0064 03:45:25,999999999,,,,999999999,,,1
672590563.5,00064M04:00:30.083,0064 03:45:25,999999999,,,,999999999,,,1
672590564,00064M04:00:30.569,0064 03:45:26,999999999,,,,999999999,,,1
672590564.5,00064M04:00:31.056,0064 03:45:26,999999999,,,,999999999,,,1
672590565,00064M04:00:31.543,0064 03:45:27,999999999,,,,999999999,,,1
672590565.5,00064M04:00:32.029,0064 03:45:27,999999999,,,,999999999,,,1
672590621,00064M04:01:26.045,0064 03:46:21,999999999,,,,999999999,,,1
672590621.5,00064M04:01:26.531,0064 03:46:22,999999999,,,,999999999,,,1
672590622,00064M04:01:27.018,0064 03:46:22,999999999,,,,999999999,,,1
672590622.5,00064M04:01:27.505,0064 03:46:23,999999999,,,,999999999,,,1
672590623,00064M04:01:27.991,0064 03:46:23,999999999,,,,999999999,,,1
672590623.5,00064M04:01:28.478,0064 03:46:23,999999999,,,,999999999,,,1
672590624,00064M04:01:28.964,0064 03:46:24,999999999,,,,999999999,,,1
672590624.5,00064M04:01:29.451,0064 03:46:24,999999999,,,,999999999,,,1
672590625,00064M04:01:29.938,0064 03:46:25,999999999,,,,999999999,,,1
672590625.5,00064M04:01:30.424,0064 03:46:25,999999999,,,,999999999,,,1
672590626,00064M04:01:30.911,0064 03:46:26,999999999,,,,999999999,,,1
672590626.5,00064M04:01:31.398,0064 03:46:26,999999999,,,,999999999,,,1
672590627,00064M04:01:31.884,0064 03:46:27,999999999,,,,999999999,,,1
672590627.5,00064M04:01:32.371,0064 03:46:27,999999999,,,,999999999,,,1
672590628,00064M04:01:32.857,0064 03:46:28,999999999,,,,999999999,,,1
672590628.5,00064M04:01:33.344,0064 03:46:28,999999999,,,,999999999,,,1
672590629,00064M04:01:33.831,0064 03:46:29,999999999,,,,999999999,,,1
672590629.5,00064M04:01:34.317,0064 03:46:29,999999999,,,,999999999,,,1
672590630,00064M04:01:34.804,0064 03:46:30,999999999,,,,999999999,,,1
672590630.5,00064M04:01:35.291,0064 03:46:30,999999999,,,,999999999,,,1
672590631,00064M04:01:35.777,0064 03:46:31,999999999,,,,999999999,,,1
672590631.5,00064M04:01:36.264,0064 03:46:31,999999999,,,,999999999,,,1
672590632,00064M04:01:36.750,0064 03:46:32,999999999,,,,999999999,,,1
672590632.5,00064M04:01:37.237,0064 03:46:32,999999999,,,,999999999,,,1
672590633,00064M04:01:37.724,0064 03:46:33,999999999,,,,999999999,,,1
672590633.5,00064M04:01:38.210,0064 03:46:33,999999999,,,,999999999,,,1
672590634,00064M04:01:38.697,0064 03:46:34,999999999,,,,999999999,,,1
